bios_profile,quant,test,n_prompt,n_gen,avg_ts,stddev_ts,run_time
Balanced,Q4_K_XL,pp131072,131072,0,115.454986,0.000000,2026-07-12 16:08:56
Balanced,Q4_K_XL,tg128@128k,0,128,11.853609,0.000000,2026-07-12 16:08:56
Balanced,Q4_K_XL,tg128-fresh,0,128,11.904425,0.184342,2026-07-12 16:08:56
Balanced,Q8_0,pp131072,131072,0,137.135634,0.000000,2026-07-12 16:08:56
Balanced,Q8_0,tg128@128k,0,128,7.580258,0.000000,2026-07-12 16:08:56
Balanced,Q8_0,tg128-fresh,0,128,7.552123,0.039915,2026-07-12 16:08:56
Performance,Q4_K_XL,pp131072,131072,0,111.786019,0.000000,2026-07-12 19:12:21
Performance,Q4_K_XL,tg128@128k,0,128,12.073644,0.000000,2026-07-12 19:12:21
Performance,Q4_K_XL,tg128-fresh,0,128,12.152856,0.046281,2026-07-12 19:12:21
Performance,Q8_0,pp131072,131072,0,108.952632,0.000000,2026-07-12 19:12:21
Performance,Q8_0,tg128@128k,0,128,7.583786,0.000000,2026-07-12 19:12:21
Performance,Q8_0,tg128-fresh,0,128,7.556371,0.032642,2026-07-12 19:12:21
